City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
621,Guaruja,BR,89.46,-23.9931,-46.2564,Pousada
624,Laranjeiras Do Sul,BR,73.76,-25.4078,-52.4161,Sandro Hotel
625,Carmen,MX,89.64,18.6333,-91.8333,Holiday Inn Express
626,Bubaque,GW,81.9,11.2833,-15.8333,Chez Julio
628,Dingli,MT,70.81,35.8614,14.3822,Maple farm B&B
629,Barentu,ER,80.37,15.1139,37.5928,No hotel found
630,Kandrian,PG,76.32,-6.2167,149.55,No hotel found
631,Corn Island,NI,84.06,12.1694,-83.0418,Sunrise Hotel
637,Seydi,TM,84.94,39.4816,62.9137,No hotel found
639,Male,MV,84.15,4.1748,73.5089,Champa Central Hotel
644,Amahai,ID,82.0,-3.3333,128.9167,No hotel found
645,Kaputa,ZM,75.25,-8.4689,29.6619,No hotel found
654,Umm Kaddadah,SD,82.54,13.6017,26.6876,No hotel found
657,Ippy,CF,75.11,6.2679,21.2247,No hotel found
658,Muisne,EC,82.63,0.6,-80.0333,Hostal Té de Menta
659,Bouna,CI,87.51,9.2667,-3.0,Hôtel Éléphant  Bouna
661,Poso,ID,76.37,-1.3959,120.7524,Nusantara
662,Hambantota,LK,80.92,6.1241,81.1185,Oasis Aurweda Resort Hambathota
664,Agbor,NG,77.85,6.2518,6.1934,No hotel found
665,Hit,IQ,85.71,33.6416,42.8251,No hotel found
668,Karambakkudi,IN,87.31,10.4667,79.1333,No hotel found
669,Taloqan,AF,80.67,36.7361,69.5345,No hotel found
671,Belmonte,BR,79.36,-15.8631,-38.8828,No hotel found
675,El Retorno,CO,86.88,2.3302,-72.6276,Hotel Casero
676,Nkan,GA,79.65,0.3833,9.7833,Santa Barbara
