City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
910,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
911,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
912,Boa Vista,BR,89.58,2.8197,-60.6733,Aipana Plaza Hotel
916,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
918,Neiafu,TO,77.68,-18.65,-173.9833,Port Wine Guest House
922,Thanh Hoa,VN,82.63,19.8,105.7667,Thanh Hoa Hotel
925,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
926,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
927,Huarmey,PE,76.23,-10.0681,-78.1522,Hostal Santa Rosa
929,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
932,Anahuac,MX,88.3,27.2333,-100.15,Hotel Anáhuac
938,Camargo,MX,89.08,27.6667,-105.1667,Hotel Santa Fe
939,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
948,Shingu,JP,72.27,33.7333,135.9833,ホテルニューパレス
950,Goderich,CA,84.52,43.7501,-81.7165,Hotel Bedford
951,General Roca,AR,70.63,-39.0333,-67.5833,Hotel Austral
952,Sikonge,TZ,72.28,-5.6333,32.7667,Kaluvya hotel and shopping center
955,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
957,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
958,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
963,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
971,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
977,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
981,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
988,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
989,Ponta Do Sol,PT,71.01,32.6667,-17.1,Estalagem Ponta do Sol
990,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
991,Ponta Do Sol,PT,71.01,32.6667,-17.1,Estalagem Ponta do Sol
992,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
993,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Prainha
1000,Rio Tercero,AR,73.8,-32.173,-64.1141,hotel Argentino
1002,Daru,PG,77.27,-9.0763,143.2092,Kuki
